,X_1,epsilon_2,sigma_2,mass_2,k_12,BoxLength,Dself_1,Dself_1_err,Dself_2,Dself_2_err,Viscosity,Viscosity_err,num_particles,visc_rel_err,zeta
112,0.5,0.8,1.6,4.096,-0.6,11.2306,0.02418,4e-05,0.01316,3e-05,4.264,0.063,500,1.4774859287054407,0.4709330524846242
113,0.5,0.6,1.6,4.096,-0.3,11.6272,0.06052,6e-05,0.03527,2e-05,1.5,0.012,500,0.7999999999999999,0.4243679939584126
114,0.5,0.6,1.6,4.096,-0.6,11.4083,0.04109,7e-05,0.024,4e-05,2.251,0.018,500,0.7996446023989338,0.4492677565473468
115,0.5,0.5,1.6,4.096,-0.3,11.8256,0.07731,0.0001,0.04778,8e-05,1.097,0.024,500,2.187784867821331,0.40336526353969826
116,0.5,0.5,1.6,4.096,-0.6,11.5471,0.05428,9e-05,0.033,4e-05,1.621,0.022,500,1.3571869216533003,0.43326067262521745
117,0.5,1.0,1.4,2.744,0.05,10.3276,0.03621,6e-05,0.02221,5e-05,2.777,0.024,500,0.8642419877565718,0.44491417691403884
118,0.5,1.0,1.4,2.744,0.0,10.3003,0.03366,5e-05,0.02068,4e-05,2.98,0.017,500,0.5704697986577182,0.44846117391761914
119,0.5,1.0,1.4,2.744,-0.3,10.1557,0.01982,3e-05,0.01233,2e-05,5.159,0.07,500,1.35685210312076,0.4678912042909359
120,0.5,1.0,1.4,2.744,-0.6,10.0437,0.01031,2e-05,0.00648,1e-05,10.354,0.19,500,1.835039598222909,0.483719143018693
121,0.5,0.8,1.4,2.744,0.05,10.4957,0.05068,7e-05,0.03395,5e-05,1.804,0.023,500,1.2749445676274944,0.4238773835434577
122,0.5,0.8,1.4,2.744,0.0,10.4607,0.04814,6e-05,0.03186,3e-05,1.934,0.014,500,0.7238883143743537,0.42814633359497783
123,0.5,0.8,1.4,2.744,-0.3,10.2757,0.03099,6e-05,0.0204,4e-05,3.1,0.039,500,1.2580645161290323,0.45168973553816383
124,0.5,0.8,1.4,2.744,-0.6,10.1379,0.01854,3e-05,0.01236,2e-05,5.242,0.075,500,1.4307516215185043,0.47036008690219877
125,0.5,0.6,1.4,2.744,-0.3,10.4667,0.04921,7e-05,0.03452,3e-05,1.796,0.017,500,0.9465478841870825,0.42741045532892724
126,0.5,0.6,1.4,2.744,-0.6,10.2815,0.03224,3e-05,0.02266,3e-05,2.794,0.034,500,1.216893342877595,0.4509257450128144
127,0.5,0.5,1.4,2.744,-0.3,10.6221,0.06327,3e-05,0.0463,4e-05,1.333,0.012,500,0.900225056264066,0.40892467196054616
128,0.5,0.5,1.4,2.744,-0.6,10.3934,0.04306,6e-05,0.03118,5e-05,2.013,0.017,500,0.8445106805762544,0.43651738564973136
129,0.5,1.0,1.2,1.728,0.05,9.299,0.03027,4e-05,0.02347,5e-05,3.15,0.039,500,1.2380952380952381,0.4440933335142566
130,0.5,1.0,1.2,1.728,0.0,9.2742,0.02796,5e-05,0.02165,5e-05,3.428,0.062,500,1.808634772462077,0.4476654988756313
131,0.5,1.0,1.2,1.728,-0.3,9.1441,0.01513,2e-05,0.01185,2e-05,6.634,0.173,500,2.6077781127524866,0.46704647258597143
132,0.5,1.0,1.2,1.728,-0.6,9.0386,0.00625,1e-05,0.00485,1e-05,18.307,0.422,500,2.305129185557437,0.48359243135337365
133,0.5,0.8,1.2,1.728,0.05,9.4382,0.04286,7e-05,0.03551,4e-05,2.079,0.032,500,1.5392015392015392,0.42473247554395177
134,0.5,0.8,1.2,1.728,0.0,9.4075,0.04028,4e-05,0.03305,6e-05,2.213,0.015,500,0.6778129236330772,0.4289042167372435
135,0.5,0.8,1.2,1.728,-0.3,9.2446,0.02445,4e-05,0.01995,2e-05,3.849,0.039,500,1.0132501948558066,0.4519793810427124
136,0.5,0.8,1.2,1.728,-0.6,9.1246,0.01335,2e-05,0.01093,2e-05,7.31,0.098,500,1.3406292749658004,0.47004722330461507
137,0.5,0.6,1.2,1.728,0.0,9.6228,0.05895,5e-05,0.05274,1e-05,1.395,0.014,500,1.0035842293906811,0.4007546944533684
138,0.5,0.6,1.2,1.728,-0.3,9.3991,0.03943,6e-05,0.03374,4e-05,2.235,0.034,500,1.521252796420582,0.43005518317255403
139,0.5,0.6,1.2,1.728,-0.6,9.2452,0.02474,2e-05,0.02112,3e-05,3.674,0.048,500,1.30647795318454,0.4518913883450991
140,0.5,0.5,1.2,1.728,-0.3,9.5177,0.05088,3e-05,0.04493,5e-05,1.653,0.016,500,0.9679370840895343,0.41417793845613776
141,0.5,0.5,1.2,1.728,-0.6,9.3341,0.03352,6e-05,0.02928,5e-05,2.602,0.034,500,1.3066871637202153,0.4391022363012377
142,0.5,1.0,1.0,1.0,0.05,8.3849,0.02647,4e-05,0.0265,4e-05,3.477,0.035,500,1.0066148979004892,0.44409405988725403
